External ID,Sl no,Debit Acc,DEBIT ACC ID/BANK ACC ID,Credit Account,CREDIT ACC ID,Days,Customer,Entity Internal ID,Date,Advance Ref#,Debit Amt,Credit Amt,Memo,Description
CUST_DEPOSIT-10030,30,A21001,968,20020,,372,Ascent Hospitality Management Co,459,03/17/2025,SO# 38961,,500000.6,Customer Deposits,
CUST_DEPOSIT-10030,30.5,A10003,616,20020,616,372,Ascent Hospitality Management Co,459,03/17/2025,SO# 38961,500000.6,,Customer Deposits,
CUST_DEPOSIT-10031,31,A21001,968,20020,,299,Ascent hospitality Townplace Suites Fairburn IN,2713,05/29/2025,SO# 36276,,39071.79,Customer Deposits,
CUST_DEPOSIT-10031,31.5,A10003,616,20020,616,299,Ascent hospitality Townplace Suites Fairburn IN,2713,05/29/2025,SO# 36276,39071.79,,Customer Deposits,
CUST_DEPOSIT-10032,32,A21001,968,20020,,337,Ascent Hospitality Tribute Carmel Indiana,2628,04/21/2025,SO#36663/2,,338.1,Customer Deposits,
CUST_DEPOSIT-10032,32.5,A10003,616,20020,616,337,Ascent Hospitality Tribute Carmel Indiana,2628,04/21/2025,SO#36663/2,338.1,,Customer Deposits,
CUST_DEPOSIT-10033,33,A21001,968,20020,,496,Ascent Hospitality- Autograph Huntsville,3318,11/13/2024,,,189922.42,Customer Deposits,
CUST_DEPOSIT-10033,33.5,A10003,616,20020,616,496,Ascent Hospitality- Autograph Huntsville,3318,11/13/2024,,189922.42,,Customer Deposits,
CUST_DEPOSIT-10034,34,A21001,968,20020,,516,Ascent Hospitality- Autograph Huntsville,3318,10/24/2024,SO# 36475,,139.53,Customer Deposits,
CUST_DEPOSIT-10034,34.5,A10003,616,20020,616,516,Ascent Hospitality- Autograph Huntsville,3318,10/24/2024,SO# 36475,139.53,,Customer Deposits,
CUST_DEPOSIT-10035,35,A21001,968,20020,,496,Ascent Hospitality- Autograph Huntsville,3318,11/13/2024,SO#38356,,199723,Customer Deposits,
CUST_DEPOSIT-10035,35.5,A10003,616,20020,616,496,Ascent Hospitality- Autograph Huntsville,3318,11/13/2024,SO#38356,199723,,Customer Deposits,
CUST_DEPOSIT-10036,36,A21001,968,20020,,299,Ascent Hospitality- Autograph Huntsville,3318,05/29/2025,SO# 38356,,800000,Customer Deposits,
CUST_DEPOSIT-10036,36.5,A10003,616,20020,616,299,Ascent Hospitality- Autograph Huntsville,3318,05/29/2025,SO# 38356,800000,,Customer Deposits,
CUST_DEPOSIT-10037,37,A21001,968,20020,,323,Ascent Residence inn Montgomery,3320,05/05/2025,SO# 37674,,262505.84,Customer Deposits,
CUST_DEPOSIT-10037,37.5,A10003,616,20020,616,323,Ascent Residence inn Montgomery,3320,05/05/2025,SO# 37674,262505.84,,Customer Deposits,
CUST_DEPOSIT-10038,38,A21001,968,20020,,329,ASHWIN PATEL,2440,04/29/2025,SO# 38799,,3047.61,Customer Deposits,
CUST_DEPOSIT-10038,38.5,A10003,616,20020,616,329,ASHWIN PATEL,2440,04/29/2025,SO# 38799,3047.61,,Customer Deposits,
CUST_DEPOSIT-10039,39,A21001,968,20020,,277,Atmosphere Commercial Interiors,1576,06/20/2025,SO# 39010,,1402.87,Customer Deposits,
CUST_DEPOSIT-10039,39.5,A10003,616,20020,616,277,Atmosphere Commercial Interiors,1576,06/20/2025,SO# 39010,1402.87,,Customer Deposits,
CUST_DEPOSIT-10040,40,A21001,968,20020,,384,Auburn Hospitality Group,1548,03/05/2025,SO# 38245,,625929.09,Customer Deposits,
CUST_DEPOSIT-10040,40.5,A10003,616,20020,616,384,Auburn Hospitality Group,1548,03/05/2025,SO# 38245,625929.09,,Customer Deposits,
CUST_DEPOSIT-10041,41,A21001,968,20020,,494,Auburn Hospitality Group,1548,11/15/2024,SO# 38245,,141523.45,Customer Deposits,
CUST_DEPOSIT-10041,41.5,A10003,616,20020,616,494,Auburn Hospitality Group,1548,11/15/2024,SO# 38245,141523.45,,Customer Deposits,
CUST_DEPOSIT-10042,42,A21001,968,20020,,293,Auburn Lodging LLC,2577,06/04/2025,SO# 38842,,32003.74,Customer Deposits,
CUST_DEPOSIT-10042,42.5,A10003,616,20020,616,293,Auburn Lodging LLC,2577,06/04/2025,SO# 38842,32003.74,,Customer Deposits,
CUST_DEPOSIT-10043,43,A21001,968,20020,,279,Auburn Lodging LLC,2577,06/18/2025,SO# 38845,,15100.62,Customer Deposits,
CUST_DEPOSIT-10043,43.5,A10003,616,20020,616,279,Auburn Lodging LLC,2577,06/18/2025,SO# 38845,15100.62,,Customer Deposits,
CUST_DEPOSIT-10044,44,A21001,968,20020,,351,AUTOGRAPH MAYA-PS,464,04/07/2025,SO# 36943,,10435.04,Customer Deposits,
CUST_DEPOSIT-10044,44.5,A10003,616,20020,616,351,AUTOGRAPH MAYA-PS,464,04/07/2025,SO# 36943,10435.04,,Customer Deposits,
CUST_DEPOSIT-10045,45,A21001,968,20020,,601,AUTOGRAPH MAYA-PS,464,07/31/2024,SO# 36943,,10435.04,Customer Deposits,
CUST_DEPOSIT-10045,45.5,A10003,616,20020,616,601,AUTOGRAPH MAYA-PS,464,07/31/2024,SO# 36943,10435.04,,Customer Deposits,
CUST_DEPOSIT-10046,46,A21001,968,20020,,637,AUTOGRAPH MAYA-PS,464,06/25/2024,SO# 36920,,27104,Customer Deposits,36920
CUST_DEPOSIT-10046,46.5,A10003,616,20020,616,637,AUTOGRAPH MAYA-PS,464,06/25/2024,SO# 36920,27104,,Customer Deposits,36920
CUST_DEPOSIT-10047,47,A21001,968,20020,,333,Bauart Construction,2371,04/25/2025,SO# 38792,,51651.71,Customer Deposits,
CUST_DEPOSIT-10047,47.5,A10003,616,20020,616,333,Bauart Construction,2371,04/25/2025,SO# 38792,51651.71,,Customer Deposits,
CUST_DEPOSIT-10048,48,A21001,968,20020,,305,BMK Construction LLC,474,05/23/2025,SO# 38995,,179770.18,Customer Deposits,
CUST_DEPOSIT-10048,48.5,A10003,616,20020,616,305,BMK Construction LLC,474,05/23/2025,SO# 38995,179770.18,,Customer Deposits,
CUST_DEPOSIT-10049,49,A21001,968,20020,,487,BMK Construction LLC,474,11/22/2024,SO# 38247,,250000,Customer Deposits,
CUST_DEPOSIT-10049,49.5,A10003,616,20020,616,487,BMK Construction LLC,474,11/22/2024,SO# 38247,250000,,Customer Deposits,
CUST_DEPOSIT-10050,50,A21001,968,20020,,488,BMK Construction LLC,474,11/21/2024,SO# 38247,,250000,Customer Deposits,
CUST_DEPOSIT-10050,50.5,A10003,616,20020,616,488,BMK Construction LLC,474,11/21/2024,SO# 38247,250000,,Customer Deposits,
CUST_DEPOSIT-10051,51,A21001,968,20020,,431,BMK Construction LLC,474,01/17/2025,SO# 38247,,250000,Customer Deposits,
CUST_DEPOSIT-10051,51.5,A10003,616,20020,616,431,BMK Construction LLC,474,01/17/2025,SO# 38247,250000,,Customer Deposits,
CUST_DEPOSIT-10052,52,A21001,968,20020,,461,Bridgerland Group,2574,12/18/2024,SO# 35028,,1331.91,Customer Deposits,
CUST_DEPOSIT-10052,52.5,A10003,616,20020,616,461,Bridgerland Group,2574,12/18/2024,SO# 35028,1331.91,,Customer Deposits,
