External ID,No,Debit Acc,Account Internal ID,Credit Acc #,Date,Entity,Entity ID,Invoice #,Memo,Debit Amt,Credit Amt
AUGCOGS-33951/6,66,A50001 - Cost Of Goods Sold (New),977,,08/25/2025,LA QUINTA ORLANDO,2678,33951/6,LA QUINTA ORLANDO - Aug  material cost transferred from sps,1122.45,
AUGCOGS-33951/6,66.5,,953,A12001 - Inventory (New),08/25/2025,LA QUINTA ORLANDO,2678,33951/6,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,1122.45
AUGCOGS-33958/4,67,A50001 - Cost Of Goods Sold (New),977,,08/25/2025,LA QUINTA ORLANDO,2678,33958/4,LA QUINTA ORLANDO - Aug  material cost transferred from sps,7346.59,
AUGCOGS-33958/4,67.5,,953,A12001 - Inventory (New),08/25/2025,LA QUINTA ORLANDO,2678,33958/4,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,7346.59
AUGCOGS-33959/8,68,A50001 - Cost Of Goods Sold (New),977,,08/25/2025,LA QUINTA ORLANDO,2678,33959/8,LA QUINTA ORLANDO - Aug  material cost transferred from sps,11782.91,
AUGCOGS-33959/8,68.5,,953,A12001 - Inventory (New),08/25/2025,LA QUINTA ORLANDO,2678,33959/8,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,11782.91
AUGCOGS-36943,70,A50001 - Cost Of Goods Sold (New),977,,08/25/2025,AUTOGRAPH MAYA-PS,464,36943,AUTOGRAPH MAYA-PS - Aug  material cost transferred from sps,3983.00,
AUGCOGS-36943,70.5,,953,A12001 - Inventory (New),08/25/2025,AUTOGRAPH MAYA-PS,464,36943,AUTOGRAPH MAYA-PS - Aug  material cost transferred from sps,,3983.00
AUGCOGS-38391/9,71,A50001 - Cost Of Goods Sold (New),977,,08/25/2025,Auburn Hospitality Group,1548,38391/9,Auburn Hospitality Group - Aug  material cost transferred from sps,6832.57,
AUGCOGS-38391/9,71.5,,953,A12001 - Inventory (New),08/25/2025,Auburn Hospitality Group,1548,38391/9,Auburn Hospitality Group - Aug  material cost transferred from sps,,6832.57
AUGCOGS-33950/13,72,A50001 - Cost Of Goods Sold (New),977,,08/26/2025,LA QUINTA ORLANDO,2678,33950/13,LA QUINTA ORLANDO - Aug  material cost transferred from sps,0.00,
AUGCOGS-33950/13,72.5,,953,A12001 - Inventory (New),08/26/2025,LA QUINTA ORLANDO,2678,33950/13,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,0.00
AUGCOGS-37092/3,73,A50001 - Cost Of Goods Sold (New),977,,08/26/2025,La Quinta San Antonio 1,2618,37092/3,La Quinta San Antonio 1 - Aug  material cost transferred from sps,1716.13,
AUGCOGS-37092/3,73.5,,953,A12001 - Inventory (New),08/26/2025,La Quinta San Antonio 1,2618,37092/3,La Quinta San Antonio 1 - Aug  material cost transferred from sps,,1716.13
AUGCOGS-37412/3,74,A50001 - Cost Of Goods Sold (New),977,,08/27/2025,Ascent Hospitality Element Carmel Indiana,3314,37412/3,Ascent Hospitality Element Carmel Indiana - Aug  material cost transferred from sps,350.73,
AUGCOGS-37412/3,74.5,,953,A12001 - Inventory (New),08/27/2025,Ascent Hospitality Element Carmel Indiana,3314,37412/3,Ascent Hospitality Element Carmel Indiana - Aug  material cost transferred from sps,,350.73
AUGCOGS-38643/3,75,A50001 - Cost Of Goods Sold (New),977,,08/28/2025,Mehr Consultancy,1934,38643/3,Mehr Consultancy - Aug  material cost transferred from sps,5458.24,
AUGCOGS-38643/3,75.5,,953,A12001 - Inventory (New),08/28/2025,Mehr Consultancy,1934,38643/3,Mehr Consultancy - Aug  material cost transferred from sps,,5458.24
AUGCOGS-33951/7,76,A50001 - Cost Of Goods Sold (New),977,,08/29/2025,LA QUINTA ORLANDO,2678,33951/7,LA QUINTA ORLANDO - Aug  material cost transferred from sps,142.42,
AUGCOGS-33951/7,76.5,,953,A12001 - Inventory (New),08/29/2025,LA QUINTA ORLANDO,2678,33951/7,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,142.42
AUGCOGS-34411/3,77,A50001 - Cost Of Goods Sold (New),977,,08/29/2025,La Quinta San Antonio 1,2618,34411/3,La Quinta San Antonio 1 - Aug  material cost transferred from sps,643.68,
AUGCOGS-34411/3,77.5,,953,A12001 - Inventory (New),08/29/2025,La Quinta San Antonio 1,2618,34411/3,La Quinta San Antonio 1 - Aug  material cost transferred from sps,,643.68
AUGCOGS-35309/2,78,A50001 - Cost Of Goods Sold (New),977,,08/29/2025,Ascent Hospitality- Autograph Huntsville,3318,35309/2,Ascent Hospitality- Autograph Huntsville - Aug  material cost transferred from sps,1619.48,
AUGCOGS-35309/2,78.5,,953,A12001 - Inventory (New),08/29/2025,Ascent Hospitality- Autograph Huntsville,3318,35309/2,Ascent Hospitality- Autograph Huntsville - Aug  material cost transferred from sps,,1619.48
AUGCOGS-36801/5,79,A50001 - Cost Of Goods Sold (New),977,,08/29/2025,"Hometown Inn & Suites, Memphis TN",3346,36801/5,"Hometown Inn & Suites, Memphis TN - Aug  material cost transferred from sps",2580.70,
AUGCOGS-36801/5,79.5,,953,A12001 - Inventory (New),08/29/2025,"Hometown Inn & Suites, Memphis TN",3346,36801/5,"Hometown Inn & Suites, Memphis TN - Aug  material cost transferred from sps",,2580.70
AUGCOGS-36913/5,80,A50001 - Cost Of Goods Sold (New),977,,08/29/2025,Ascent hospitality Towneplace West Lafayette IN,2705,36913/5,Ascent hospitality Towneplace West Lafayette IN - Aug  material cost transferred from sps,109.08,
AUGCOGS-36913/5,80.5,,953,A12001 - Inventory (New),08/29/2025,Ascent hospitality Towneplace West Lafayette IN,2705,36913/5,Ascent hospitality Towneplace West Lafayette IN - Aug  material cost transferred from sps,,109.08
