External ID,No,Debit Acc,Account Internal ID,Credit Acc #,Date,Entity,Entity ID,Invoice #,Memo,Debit Amt,Credit Amt
AUGCOGS-33562/5,132,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,La Quinta Inn & Suites- Seatac Airport- Seattle WA,2328,33562/5,La Quinta Inn & Suites- Seatac Airport- Seattle WA - Aug  material cost transferred from sps,973.43,
AUGCOGS-33562/5,132.5,,953,A12001 - Inventory (New),08/30/2025,La Quinta Inn & Suites- Seatac Airport- Seattle WA,2328,33562/5,La Quinta Inn & Suites- Seatac Airport- Seattle WA - Aug  material cost transferred from sps,,973.43
AUGCOGS-33853/3,137,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Nandas Holding Ltd.c/o Sunray Group,3535,33853/3,Nandas Holding Ltd.c/o Sunray Group - Aug  material cost transferred from sps,2157.78,
AUGCOGS-33853/3,137.5,,953,A12001 - Inventory (New),08/30/2025,Nandas Holding Ltd.c/o Sunray Group,3535,33853/3,Nandas Holding Ltd.c/o Sunray Group - Aug  material cost transferred from sps,,2157.78
AUGCOGS-34363/10,161,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,"Hampton Inn & Suites Enterprise,AL",2804,34363/10,"Hampton Inn & Suites Enterprise,AL - Aug  material cost transferred from sps",3718.30,
AUGCOGS-34363/10,161.5,,953,A12001 - Inventory (New),08/30/2025,"Hampton Inn & Suites Enterprise,AL",2804,34363/10,"Hampton Inn & Suites Enterprise,AL - Aug  material cost transferred from sps",,3718.30
AUGCOGS-34363/9,162,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,"Hampton Inn & Suites Enterprise,AL",2804,34363/9,"Hampton Inn & Suites Enterprise,AL - Aug  material cost transferred from sps",10819.11,
AUGCOGS-34363/9,162.5,,953,A12001 - Inventory (New),08/30/2025,"Hampton Inn & Suites Enterprise,AL",2804,34363/9,"Hampton Inn & Suites Enterprise,AL - Aug  material cost transferred from sps",,10819.11
AUGCOGS-34611/3,184,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Acoya South Bay,3536,34611/3,Acoya South Bay - Aug  material cost transferred from sps,3.90,
AUGCOGS-34611/3,184.5,,953,A12001 - Inventory (New),08/30/2025,Acoya South Bay,3536,34611/3,Acoya South Bay - Aug  material cost transferred from sps,,3.90
AUGCOGS-34640/2,185,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,EXPOSED DESIGN GROUP,3537,34640/2,EXPOSED DESIGN GROUP - Aug  material cost transferred from sps,0.05,
