External ID,S.no,Debit,Account ID,Credit ,Date,Entity,Entity ID,Invoice #,Memo,Debit Amt,Credit Amt
AUGCOGS-24JSF10049,12.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/26/2025,"Jasfer Industry Co., Limited",137,24JSF10049,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,199
AUGCOGS-24JSF07051,13,A51001 - Freight - Out - Expense (New),981,,08/26/2025,"Jasfer Industry Co., Limited",137,24JSF07051,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",136,
AUGCOGS-24JSF07051,13.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/26/2025,"Jasfer Industry Co., Limited",137,24JSF07051,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,136
AUGCOGS-24RT110203,14,A51001 - Freight - Out - Expense (New),981,,08/26/2025,"Jasfer Industry Co., Limited",137,24RT110203,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",135.5,
AUGCOGS-24RT110203,14.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/26/2025,"Jasfer Industry Co., Limited",137,24RT110203,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,135.5
AUGCOGS-24JS102903,15,A51001 - Freight - Out - Expense (New),981,,08/26/2025,"Jasfer Industry Co., Limited",137,24JS102903,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",136,
AUGCOGS-24JS102903,15.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/26/2025,"Jasfer Industry Co., Limited",137,24JS102903,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,136
AUGCOGS-24JSF10052,16,A51001 - Freight - Out - Expense (New),981,,08/26/2025,"Jasfer Industry Co., Limited",137,24JSF10052,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",199,
AUGCOGS-24JSF10052,16.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/26/2025,"Jasfer Industry Co., Limited",137,24JSF10052,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,199
AUGCOGS-24JS112006,17,A51001 - Freight - Out - Expense (New),981,,08/26/2025,"Jasfer Industry Co., Limited",137,24JS112006,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",65,
AUGCOGS-24JS112006,17.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/26/2025,"Jasfer Industry Co., Limited",137,24JS112006,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,65
AUGCOGS-24RT111902,18,A51001 - Freight - Out - Expense (New),981,,08/27/2025,"Jasfer Industry Co., Limited",137,24RT111902,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",421,
AUGCOGS-24RT111902,18.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/27/2025,"Jasfer Industry Co., Limited",137,24RT111902,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,421
AUGCOGS-25JSF01024,19,A51001 - Freight - Out - Expense (New),981,,08/27/2025,"Jasfer Industry Co., Limited",137,25JSF01024,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",501,
AUGCOGS-25JSF01024,19.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/27/2025,"Jasfer Industry Co., Limited",137,25JSF01024,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,501
AUGCOGS-25JSF03010,20,A51001 - Freight - Out - Expense (New),981,,08/27/2025,"Jasfer Industry Co., Limited",137,25JSF03010,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",421,
AUGCOGS-25JSF03010,20.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/27/2025,"Jasfer Industry Co., Limited",137,25JSF03010,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,421
AUGCOGS-25JK030501,21,A51001 - Freight - Out - Expense (New),981,,08/27/2025,"Jasfer Industry Co., Limited",137,25JK030501,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",422,
AUGCOGS-25JK030501,21.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/27/2025,"Jasfer Industry Co., Limited",137,25JK030501,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,422
AUGCOGS-25RT030502,22,A51001 - Freight - Out - Expense (New),981,,08/27/2025,"Jasfer Industry Co., Limited",137,25RT030502,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",422,
AUGCOGS-25RT030502,22.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/27/2025,"Jasfer Industry Co., Limited",137,25RT030502,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,422
