Invoice #,Customer,Invoice date,Amount
"118, 123, 124, 127, 128, 134, 135, 136, 196",GIBAM SHOPS SPA,04-30-2024,0.01
108109,GIBAM SHOPS SPA,05-04-2024,54.26
2023-FE-0000499,GIBAM SHOPS SPA,06-01-2024,109.44
2023-FE-0000509,GIBAM SHOPS SPA,06-01-2024,9403.44
2023-FE-0000510,GIBAM SHOPS SPA,06-01-2024,513.27
"180, 181, 187, 188, 189",GIBAM SHOPS SPA,06-21-2024,0.28
2024-FE-0000191,GIBAM SHOPS SPA,06-24-2024,0.91
"194, 195",GIBAM SHOPS SPA,06-26-2024,22.49
2024-FE-0000197,GIBAM SHOPS SPA,06-28-2024,0.01
"202, 203, 204, 205, 206, 207, 22",GIBAM SHOPS SPA,06-28-2024,6802.52
"222, 223, 224",GIBAM SHOPS SPA,06-28-2024,360.01
2024-FE-0000236,GIBAM SHOPS SPA,07-12-2024,2577.97
2024-FE-0000238,GIBAM SHOPS SPA,07-22-2024,1694.15
2024-FE-0000243,GIBAM SHOPS SPA,07-23-2024,178.9
2024-FE-0000244,GIBAM SHOPS SPA,07-23-2024,544.11
2024-FE-0000267,GIBAM SHOPS SPA,07-31-2024,14790.76
2024-FE-0000266,GIBAM SHOPS SPA,07-31-2024,1735.67
2024-FE-0000168,GIBAM SHOPS SPA,08-01-2024,19051.06
2023-FE-0000364,GIBAM SHOPS SPA,08-01-2024,6194.25
"269, 270. 272, 311",GIBAM SHOPS SPA,08-02-2024,36810.02
"260, 261, 262, 271, 313",GIBAM SHOPS SPA,08-02-2024,50469.92
2024-FE-0000264,GIBAM SHOPS SPA,08-07-2024,17241.56
"259, 263, 273, 274, 275, 276",GIBAM SHOPS SPA,08-07-2024,48732.84
"280, 281, 283, 285",GIBAM SHOPS SPA,08-28-2024,41698.42
"282, 284",GIBAM SHOPS SPA,08-28-2024,3622.29
2024-FE-0000288,GIBAM SHOPS SPA,09-09-2024,1886.6
"291, 292",GIBAM SHOPS SPA,09-12-2024,33.13
"300, 302, 304",GIBAM SHOPS SPA,09-23-2024,33433.33
2024-FE-0000298,GIBAM SHOPS SPA,09-23-2024,3415.51
