External ID,S.no,Debit,Account ID,Debit Internal ID,Credit,Credit Internal ID,Date,Customer,Entity ID,Invoice#,Memo,Description,Debit AMT,Credit AMT
EXTERNAL - 45839 - Inventory,186,A12001 - Inventory (New),953,953,,,7/23/2025,"Jasfer Industry Co., Limited",137,45839 - Inventory,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,287692.10,
EXTERNAL - 45839 - Inventory,186.5,,981,,A51001 - Freight - Out - Expense (New),981,7/23/2025,"Jasfer Industry Co., Limited",137,45839 - Inventory,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,287692.10
EXTERNAL - 5,187,A51001 - Freight - Out - Expense (New),981,981,,,7/24/2025,Pantarei S.R.L,1280,5,Pantarei S.R.L - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,121.92,
EXTERNAL - 5,187.5,,966,,A20001 - Accounts Payable Suppliers & Vendors (New),966,7/24/2025,Pantarei S.R.L,1280,5,Pantarei S.R.L - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,,121.92
"EXTERNAL - 2024-FE-0000421, 12 - AP",188,A51001 - Freight - Out - Expense (New),981,981,,,7/24/2025,GIBAM SHOPS SPA,1253,"2024-FE-0000421, 12 - AP",GIBAM SHOPS SPA - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,62.00,
"EXTERNAL - 2024-FE-0000421, 12 - AP",188.5,,966,,A20001 - Accounts Payable Suppliers & Vendors (New),966,7/24/2025,GIBAM SHOPS SPA,1253,"2024-FE-0000421, 12 - AP",GIBAM SHOPS SPA - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,,62.00
"EXTERNAL - 2024-FE-0000421, 12 - Inv",189,A12001 - Inventory (New),953,953,,,7/24/2025,GIBAM SHOPS SPA,1253,"2024-FE-0000421, 12 - Inv",GIBAM SHOPS SPA - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,50.00,
"EXTERNAL - 2024-FE-0000421, 12 - Inv",189.5,,981,,A51001 - Freight - Out - Expense (New),981,7/24/2025,GIBAM SHOPS SPA,1253,"2024-FE-0000421, 12 - Inv",GIBAM SHOPS SPA - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,,50.00
EXTERNAL - 2025-FE-0000016 - AP,190,A51001 - Freight - Out - Expense (New),981,981,,,7/24/2025,GIBAM SHOPS SPA,1253,2025-FE-0000016 - AP,GIBAM SHOPS SPA - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,67.00,
EXTERNAL - 2025-FE-0000016 - AP,190.5,,981,,A51001 - Freight - Out - Expense (New),981,7/24/2025,GIBAM SHOPS SPA,1253,2025-FE-0000016 - AP,GIBAM SHOPS SPA - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,,67.00
EXTERNAL - 2025-FE-0000016 - Inv,191,A12001 - Inventory (New),953,953,,,7/24/2025,GIBAM SHOPS SPA,1253,2025-FE-0000016 - Inv,GIBAM SHOPS SPA - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,55.00,
EXTERNAL - 2025-FE-0000016 - Inv,191.5,,981,,A51001 - Freight - Out - Expense (New),981,7/24/2025,GIBAM SHOPS SPA,1253,2025-FE-0000016 - Inv,GIBAM SHOPS SPA - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,,55.00
EXTERNAL - 22533845-E,192,A51001 - Freight - Out - Expense (New),981,981,,,7/24/2025,Fama Sofas S.L.U,1248,22533845-E,Fama Sofas S.L.U - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,0.42,
EXTERNAL - 22533845-E,192.5,,966,,A20001 - Accounts Payable Suppliers & Vendors (New),966,7/24/2025,Fama Sofas S.L.U,1248,22533845-E,Fama Sofas S.L.U - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,,0.42
EXTERNAL - 2025-FE-0000020 - AP,193,A51001 - Freight - Out - Expense (New),981,981,,,7/24/2025,GIBAM SHOPS SPA,1253,2025-FE-0000020 - AP,GIBAM SHOPS SPA - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,67.00,
EXTERNAL - 2025-FE-0000020 - AP,193.5,,966,,A20001 - Accounts Payable Suppliers & Vendors (New),966,7/24/2025,GIBAM SHOPS SPA,1253,2025-FE-0000020 - AP,GIBAM SHOPS SPA - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,,67.00
EXTERNAL - 22530781-E - AP,194,A51001 - Freight - Out - Expense (New),981,981,,,7/24/2025,Fama Sofas S.L.U,1248,22530781-E - AP,Fama Sofas S.L.U - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,1056.45,
EXTERNAL - 22530781-E - AP,194.5,,966,,A20001 - Accounts Payable Suppliers & Vendors (New),966,7/24/2025,Fama Sofas S.L.U,1248,22530781-E - AP,Fama Sofas S.L.U - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,,1056.45
EXTERNAL - 2025-FE-0000019 - AP,195,A51001 - Freight - Out - Expense (New),981,981,,,7/24/2025,GIBAM SHOPS SPA,1253,2025-FE-0000019 - AP,GIBAM SHOPS SPA - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,67.00,
EXTERNAL - 2025-FE-0000019 - AP,195.5,,966,,A20001 - Accounts Payable Suppliers & Vendors (New),966,7/24/2025,GIBAM SHOPS SPA,1253,2025-FE-0000019 - AP,GIBAM SHOPS SPA - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,,67.00
EXTERNAL - 2025-FE-0000021- AP,196,A51001 - Freight - Out - Expense (New),981,981,,,7/24/2025,GIBAM SHOPS SPA,1253,2025-FE-0000021- AP,GIBAM SHOPS SPA - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,68.00,
EXTERNAL - 2025-FE-0000021- AP,196.5,,966,,A20001 - Accounts Payable Suppliers & Vendors (New),966,7/24/2025,GIBAM SHOPS SPA,1253,2025-FE-0000021- AP,GIBAM SHOPS SPA - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,,68.00
EXTERNAL - 2025-FE-0000013 - AP,197,A51001 - Freight - Out - Expense (New),981,981,,,7/24/2025,GIBAM SHOPS SPA,1253,2025-FE-0000013 - AP,GIBAM SHOPS SPA - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,67.00,
EXTERNAL - 2025-FE-0000013 - AP,197.5,,966,,A20001 - Accounts Payable Suppliers & Vendors (New),966,7/24/2025,GIBAM SHOPS SPA,1253,2025-FE-0000013 - AP,GIBAM SHOPS SPA - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,,67.00
EXTERNAL - 2025-FE-0000014- AP,198,A51001 - Freight - Out - Expense (New),981,981,,,7/24/2025,GIBAM SHOPS SPA,1253,2025-FE-0000014- AP,GIBAM SHOPS SPA - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,67.00,
EXTERNAL - 2025-FE-0000014- AP,198.5,,966,,A20001 - Accounts Payable Suppliers & Vendors (New),966,7/24/2025,GIBAM SHOPS SPA,1253,2025-FE-0000014- AP,GIBAM SHOPS SPA - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,,67.00
EXTERNAL - 2025-FE-0000015 - AP,199,A51001 - Freight - Out - Expense (New),981,981,,,7/24/2025,GIBAM SHOPS SPA,1253,2025-FE-0000015 - AP,GIBAM SHOPS SPA - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,67.00,
EXTERNAL - 2025-FE-0000015 - AP,199.5,,966,,A20001 - Accounts Payable Suppliers & Vendors (New),966,7/24/2025,GIBAM SHOPS SPA,1253,2025-FE-0000015 - AP,GIBAM SHOPS SPA - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,,67.00
EXTERNAL - 20250209 - AP,200,A51001 - Freight - Out - Expense (New),981,981,,,7/24/2025,An Cuong Wood-Working,1542,20250209 - AP,An Cuong Wood-Working - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,6177.49,
