External ID,Item ,Item ID,Date,Transaction#,Invoice#,Location,Location ID,Subsidiary ID,Type,Description,Memo,Party,Vendor ID,Debit,Credit Amount,Balance,SPS,NetSuite,Serial lot no.,Bin id
BILL-46024B,Item (Revenue/COGS),40391,08/12/2025,46024B,SR173-5B2,GV,2,3,SupplierInvoice,Imports from SPS ,SR173-5B2-SupplierInvoice,HARMONY HOSPITALITY CO LTD,2517,,13290.5,"($53,31,924.22)",Yes,No,BILLJULY2025,17
BILL-46779G,Item (Revenue/COGS),40391,08/12/2025,46779G,SR151-10,GV,2,3,SupplierInvoice,Imports from SPS ,SR151-10-SupplierInvoice,HARMONY HOSPITALITY CO LTD,2517,,5113.82,"($53,37,038.04)",Yes,No,BILLJULY2025,17
BILL-43006C,Item (Revenue/COGS),40391,08/13/2025,43006C,24BL111405,GV,2,3,SupplierInvoice,Imports from SPS ,24BL111405-SupplierInvoice,"Jasfer Industry Co., Limited",137,,2918.19,"($53,39,956.23)",Yes,No,BILLJULY2025,17
BILL-43614,Item (Revenue/COGS),40391,08/13/2025,43614,24JS120906,GV,2,3,SupplierInvoice,Imports from SPS ,24JS120906-SupplierInvoice,"Jasfer Industry Co., Limited",137,,347.99,"($53,40,304.22)",Yes,No,BILLJULY2025,17
BILL-44460,Item (Revenue/COGS),40391,08/13/2025,44460,25JSF01036,GV,2,3,SupplierInvoice,Imports from SPS ,25JSF01036-SupplierInvoice,"Jasfer Industry Co., Limited",137,,1207.51,"($53,41,511.73)",Yes,No,BILLJULY2025,17
BILL-45740,Item (Revenue/COGS),40391,08/13/2025,45740,25JSF03054,GV,2,3,SupplierInvoice,Imports from SPS ,25JSF03054-SupplierInvoice,"Jasfer Industry Co., Limited",137,,236.45,"($53,52,046.58)",Yes,No,BILLJULY2025,17
BILL-41831D,Item (Revenue/COGS),40391,08/20/2025,41831D,36264/VE,GV,2,3,SupplierInvoice,Imports from SPS ,36264/VE-SupplierInvoice,MirageGranitoCeramico S.p.A,173,,7408.8,"($53,59,455.38)",Yes,No,BILLJULY2025,17
BILL-43478,Item (Revenue/COGS),40391,08/21/2025,43478,SR393-14P3,GV,2,3,SupplierInvoice,Imports from SPS ,SR393-14P3-SupplierInvoice,HARMONY HOSPITALITY CO LTD,2517,,2096.48,"($53,61,551.86)",Yes,No,BILLJULY2025,17
BILL-45213,Item (Revenue/COGS),40391,08/21/2025,45213,SR393-14P4,GV,2,3,SupplierInvoice,Imports from SPS ,SR393-14P4-SupplierInvoice,HARMONY HOSPITALITY CO LTD,2517,,2380.03,"($53,64,771.34)",Yes,No,BILLJULY2025,17
BILL-45370,Item (Revenue/COGS),40391,08/21/2025,45370,SR393-14P6,GV,2,3,SupplierInvoice,Imports from SPS ,SR393-14P6-SupplierInvoice,HARMONY HOSPITALITY CO LTD,2517,,3021.6,"($53,67,792.94)",Yes,No,BILLJULY2025,17
BILL-45841,Item (Revenue/COGS),40391,08/22/2025,45841,999188956,GV,2,3,SupplierInvoice,Imports from SPS ,999188956-SupplierInvoice,ShawInd,1964,,35906.04,"($54,04,679.54)",Yes,No,BILLJULY2025,17
BILL-46022,Item (Revenue/COGS),40391,08/28/2025,46022,999189133,GV,2,3,SupplierInvoice,Imports from SPS ,999189133-SupplierInvoice,ShawInd,1964,,43238.99,"($54,47,918.53)",Yes,No,BILLJULY2025,17
BILL-41969D,Item (Revenue/COGS),40391,08/30/2025,41969D,SR273-44,GV,2,3,SupplierInvoice,Imports from SPS ,SR273-44-SupplierInvoice,Richwood Hospitality Co. LTD,1285,,165.96,"($54,48,084.49)",Yes,No,BILLJULY2025,17
BILL-42298H,Item (Revenue/COGS),40391,08/30/2025,42298H,SR307-2,GV,2,3,SupplierInvoice,Imports from SPS ,SR307-2-SupplierInvoice,Richwood Hospitality Co. LTD,1285,,18648,"($54,66,732.49)",Yes,No,BILLJULY2025,17
BILL-43164B,Item (Revenue/COGS),40391,08/30/2025,43164B,SR271,GV,2,3,SupplierInvoice,Imports from SPS ,SR271-SupplierInvoice,Richwood Hospitality Co. LTD,1285,,2200,"($54,68,932.49)",Yes,No,BILLJULY2025,17
BILL-45546C,Item (Revenue/COGS),40391,08/30/2025,45546C,SR273-52,GV,2,3,SupplierInvoice,Imports from SPS ,SR273-52-SupplierInvoice,Richwood Hospitality Co. LTD,1285,,1578.69,"($54,70,511.18)",Yes,No,BILLJULY2025,17
BILL-47189,Item (Revenue/COGS),40391,08/30/2025,47189,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,"Stonepeak Ceramics, Inc.",228,,139.2,"($54,70,650.38)",Yes,No,BILLJULY2025,17
BILL-47190,Item (Revenue/COGS),40391,08/30/2025,47190,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,"Stonepeak Ceramics, Inc.",228,,25.61,"($54,70,675.99)",Yes,No,BILLJULY2025,17
BILL-47191,Item (Revenue/COGS),40391,08/30/2025,47191,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,"Jasfer Industry Co., Limited",137,,440,"($54,71,115.99)",Yes,No,BILLJULY2025,17
BILL-47192,Item (Revenue/COGS),40391,08/30/2025,47192,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,"Stonepeak Ceramics, Inc.",228,,2110.94,"($54,73,226.93)",Yes,No,BILLJULY2025,17
BILL-47193,Item (Revenue/COGS),40391,08/30/2025,47193,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,Atlas Concorde,1232,,783.92,"($54,74,010.85)",Yes,No,BILLJULY2025,17
BILL-47194,Item (Revenue/COGS),40391,08/30/2025,47194,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,"Santa Rosa Marble, Inc.",2527,,248.52,"($54,74,259.37)",Yes,No,BILLJULY2025,17
BILL-47195,Item (Revenue/COGS),40391,08/30/2025,47195,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,Atlas Concorde,1232,,1646.32,"($54,75,905.69)",Yes,No,BILLJULY2025,17
BILL-47196,Item (Revenue/COGS),40391,08/30/2025,47196,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,Atlas Concorde,1232,,2346.52,"($54,78,252.21)",Yes,No,BILLJULY2025,17
BILL-47197,Item (Revenue/COGS),40391,08/30/2025,47197,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,Atlas Concorde,1232,,631.48,"($54,78,883.69)",Yes,No,BILLJULY2025,17
BILL-47208,Item (Revenue/COGS),40391,08/30/2025,47208,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,Atlas Concorde,1232,,1006.3,"($54,79,889.99)",Yes,No,BILLJULY2025,17
BILL-47209,Item (Revenue/COGS),40391,08/30/2025,47209,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,Atlas Concorde,1232,,10747.08,"($54,90,637.07)",Yes,No,BILLJULY2025,17
BILL-47210,Item (Revenue/COGS),40391,08/30/2025,47210,4860422,GV,2,3,SupplierInvoice,Imports from SPS ,4860422-SupplierInvoice,EMIL AMERICA,3654,,895.98,"($54,91,533.05)",Yes,No,BILLJULY2025,17
BILL-47210B,Item (Revenue/COGS),40391,08/30/2025,47210B,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,EMIL AMERICA,3654,,409.45,"($54,91,942.50)",Yes,No,BILLJULY2025,17
BILL-47211,Item (Revenue/COGS),40391,08/30/2025,47211,25013074,GV,2,3,SupplierInvoice,Imports from SPS ,25013074-SupplierInvoice,"Stonepeak Ceramics, Inc.",228,,51731.82,"($55,43,674.32)",Yes,No,BILLJULY2025,17
BILL-47211B,Item (Revenue/COGS),40391,08/30/2025,47211B,25013566,GV,2,3,SupplierInvoice,Imports from SPS ,25013566-SupplierInvoice,"Stonepeak Ceramics, Inc.",228,,5747.98,"($55,49,422.30)",Yes,No,BILLJULY2025,17
