External ID,SL no,Debit,Account Internal ID,Credit ,credit,Date,Invoice,Customer/vendor,Entity ID,Description,Debit Amt,Credit Amt
AUGREVENUE-38252/2,37,A11001 - Accounts Receivable (New),950,,#VALUE!,08/12/2025,38252/2,HOME2 SOMERSET,3526,Aug 25 product revenue in SPS,5561.55,
AUGREVENUE-38252/2,37.5,,972,A40001 - Sales Income (New),972,08/12/2025,38252/2,HOME2 SOMERSET,3526,Aug 25 product revenue in SPS,,5561.55
AUGREVENUE-38253/2,38,A11001 - Accounts Receivable (New),950,,#VALUE!,08/12/2025,38253/2,HOME2 SOMERSET,3526,Aug 25 product revenue in SPS,22730.00,
AUGREVENUE-38253/2,38.5,,972,A40001 - Sales Income (New),972,08/12/2025,38253/2,HOME2 SOMERSET,3526,Aug 25 product revenue in SPS,,22730.00
AUGREVENUE-38256,39,A11001 - Accounts Receivable (New),950,,#VALUE!,08/12/2025,38256,HOME2 SOMERSET,3526,Aug 25 product revenue in SPS,8134.00,
AUGREVENUE-38256,39.5,,972,A40001 - Sales Income (New),972,08/12/2025,38256,HOME2 SOMERSET,3526,Aug 25 product revenue in SPS,,8134.00
AUGREVENUE-38257,40,A11001 - Accounts Receivable (New),950,,#VALUE!,08/12/2025,38257,HOME2 SOMERSET,3526,Aug 25 product revenue in SPS,4373.48,
AUGREVENUE-38257,40.5,,972,A40001 - Sales Income (New),972,08/12/2025,38257,HOME2 SOMERSET,3526,Aug 25 product revenue in SPS,,4373.48
AUGREVENUE-38268,41,A11001 - Accounts Receivable (New),950,,#VALUE!,08/12/2025,38268,HOME2 SOMERSET,3526,Aug 25 product revenue in SPS,460.68,
AUGREVENUE-38268,41.5,,972,A40001 - Sales Income (New),972,08/12/2025,38268,HOME2 SOMERSET,3526,Aug 25 product revenue in SPS,,460.68
AUGREVENUE-38331,42,A11001 - Accounts Receivable (New),950,,#VALUE!,08/12/2025,38331,"Residence Inn Pearland, TX",2466,Aug 25 product revenue in SPS,7573.34,
AUGREVENUE-38331,42.5,,972,A40001 - Sales Income (New),972,08/12/2025,38331,"Residence Inn Pearland, TX",2466,Aug 25 product revenue in SPS,,7573.34
AUGREVENUE-38375,43,A11001 - Accounts Receivable (New),950,,#VALUE!,08/12/2025,38375,HOME2 SOMERSET,3526,Aug 25 product revenue in SPS,1185.60,
AUGREVENUE-38375,43.5,,972,A40001 - Sales Income (New),972,08/12/2025,38375,HOME2 SOMERSET,3526,Aug 25 product revenue in SPS,,1185.60
AUGREVENUE-33948/4,44,A11001 - Accounts Receivable (New),950,,#VALUE!,08/13/2025,33948/4,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,966.86,
AUGREVENUE-33948/4,44.5,,972,A40001 - Sales Income (New),972,08/13/2025,33948/4,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,966.86
AUGREVENUE-33951/5,45,A11001 - Accounts Receivable (New),950,,#VALUE!,08/13/2025,33951/5,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,0.00,
AUGREVENUE-33951/5,45.5,,972,A40001 - Sales Income (New),972,08/13/2025,33951/5,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,0.00
AUGREVENUE-37685/5,46,A11001 - Accounts Receivable (New),950,,#VALUE!,08/13/2025,37685/5,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,7652.82,
AUGREVENUE-37685/5,46.5,,972,A40001 - Sales Income (New),972,08/13/2025,37685/5,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,,7652.82
AUGREVENUE-38204/2,47,A11001 - Accounts Receivable (New),950,,#VALUE!,08/13/2025,38204/2,LQ Hawthorne Leavenworth,3412,Aug 25 product revenue in SPS,5142.86,
AUGREVENUE-38204/2,47.5,,972,A40001 - Sales Income (New),972,08/13/2025,38204/2,LQ Hawthorne Leavenworth,3412,Aug 25 product revenue in SPS,,5142.86
AUGREVENUE-38857,48,A11001 - Accounts Receivable (New),950,,#VALUE!,08/18/2025,38857,"White River Flooring, Inc.",2553,Aug 25 product revenue in SPS,12815.60,
AUGREVENUE-38857,48.5,,972,A40001 - Sales Income (New),972,08/18/2025,38857,"White River Flooring, Inc.",2553,Aug 25 product revenue in SPS,,12815.60
AUGREVENUE-35795/2,49,A11001 - Accounts Receivable (New),950,,#VALUE!,08/21/2025,35795/2,Fairfield Townplace East Hartford,3335,Aug 25 product revenue in SPS,47953.50,
AUGREVENUE-35795/2,49.5,,972,A40001 - Sales Income (New),972,08/21/2025,35795/2,Fairfield Townplace East Hartford,3335,Aug 25 product revenue in SPS,,47953.50
AUGREVENUE-38403/5,50,A11001 - Accounts Receivable (New),950,,#VALUE!,08/23/2025,38403/5,Auburn Hospitality Group,1548,Aug 25 product revenue in SPS,40481.73,
AUGREVENUE-38403/5,50.5,,972,A40001 - Sales Income (New),972,08/23/2025,38403/5,Auburn Hospitality Group,1548,Aug 25 product revenue in SPS,,40481.73
AUGREVENUE-33565/11,51,A11001 - Accounts Receivable (New),950,,#VALUE!,08/25/2025,33565/11,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,7558.58,
AUGREVENUE-33565/11,51.5,,972,A40001 - Sales Income (New),972,08/25/2025,33565/11,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,7558.58
AUGREVENUE-33565/12,52,A11001 - Accounts Receivable (New),950,,#VALUE!,08/25/2025,33565/12,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,4209.92,
AUGREVENUE-33565/12,52.5,,972,A40001 - Sales Income (New),972,08/25/2025,33565/12,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,4209.92
AUGREVENUE-33566/7,53,A11001 - Accounts Receivable (New),950,,#VALUE!,08/25/2025,33566/7,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,123.63,
AUGREVENUE-33566/7,53.5,,972,A40001 - Sales Income (New),972,08/25/2025,33566/7,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,123.63
AUGREVENUE-33566/9,54,A11001 - Accounts Receivable (New),950,,#VALUE!,08/25/2025,33566/9,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,1762.50,
AUGREVENUE-33566/9,54.5,,972,A40001 - Sales Income (New),972,08/25/2025,33566/9,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,1762.50
AUGREVENUE-33569/4,55,A11001 - Accounts Receivable (New),950,,#VALUE!,08/25/2025,33569/4,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,54337.63,
AUGREVENUE-33569/4,55.5,,972,A40001 - Sales Income (New),972,08/25/2025,33569/4,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,54337.63
AUGREVENUE-33569/5,56,A11001 - Accounts Receivable (New),950,,#VALUE!,08/25/2025,33569/5,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,996.66,
AUGREVENUE-33569/5,56.5,,972,A40001 - Sales Income (New),972,08/25/2025,33569/5,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,996.66
AUGREVENUE-33571,57,A11001 - Accounts Receivable (New),950,,#VALUE!,08/25/2025,33571,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,1602.25,
AUGREVENUE-33571,57.5,,972,A40001 - Sales Income (New),972,08/25/2025,33571,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,1602.25
AUGREVENUE-33575/6,58,A11001 - Accounts Receivable (New),950,,#VALUE!,08/25/2025,33575/6,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,38322.51,
AUGREVENUE-33575/6,58.5,,972,A40001 - Sales Income (New),972,08/25/2025,33575/6,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,38322.51
AUGREVENUE-33945/4,59,A11001 - Accounts Receivable (New),950,,#VALUE!,08/25/2025,33945/4,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,661.82,
AUGREVENUE-33945/4,59.5,,972,A40001 - Sales Income (New),972,08/25/2025,33945/4,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,661.82
AUGREVENUE-33946/3,60,A11001 - Accounts Receivable (New),950,,#VALUE!,08/25/2025,33946/3,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,19066.87,
AUGREVENUE-33946/3,60.5,,972,A40001 - Sales Income (New),972,08/25/2025,33946/3,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,19066.87
AUGREVENUE-33948/5,61,A11001 - Accounts Receivable (New),950,,#VALUE!,08/25/2025,33948/5,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,5030.20,
AUGREVENUE-33948/5,61.5,,972,A40001 - Sales Income (New),972,08/25/2025,33948/5,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,5030.20
AUGREVENUE-33950,62,A11001 - Accounts Receivable (New),950,,#VALUE!,08/25/2025,33950,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,0.00,
AUGREVENUE-33950,62.5,,972,A40001 - Sales Income (New),972,08/25/2025,33950,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,0.00
AUGREVENUE-33950/2,63,A11001 - Accounts Receivable (New),950,,#VALUE!,08/25/2025,33950/2,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,145.35,
AUGREVENUE-33950/2,63.5,,972,A40001 - Sales Income (New),972,08/25/2025,33950/2,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,145.35
AUGREVENUE-33950/8,64,A11001 - Accounts Receivable (New),950,,#VALUE!,08/25/2025,33950/8,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,560.00,
AUGREVENUE-33950/8,64.5,,972,A40001 - Sales Income (New),972,08/25/2025,33950/8,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,560.00
AUGREVENUE-33951/6,65,A11001 - Accounts Receivable (New),950,,#VALUE!,08/25/2025,33951/6,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,1125.00,
AUGREVENUE-33951/6,65.5,,972,A40001 - Sales Income (New),972,08/25/2025,33951/6,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,1125.00
AUGREVENUE-33958/4,66,A11001 - Accounts Receivable (New),950,,#VALUE!,08/25/2025,33958/4,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,9155.87,
AUGREVENUE-33958/4,66.5,,972,A40001 - Sales Income (New),972,08/25/2025,33958/4,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,9155.87
AUGREVENUE-33959/8,67,A11001 - Accounts Receivable (New),950,,#VALUE!,08/25/2025,33959/8,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,27246.81,
AUGREVENUE-33959/8,67.5,,972,A40001 - Sales Income (New),972,08/25/2025,33959/8,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,27246.81
AUGREVENUE-36456/6,68,A11001 - Accounts Receivable (New),950,,#VALUE!,08/25/2025,36456/6,Wingate by Wyndham / Indianapolis,3519,Aug 25 product revenue in SPS,0.00,
AUGREVENUE-36456/6,68.5,,972,A40001 - Sales Income (New),972,08/25/2025,36456/6,Wingate by Wyndham / Indianapolis,3519,Aug 25 product revenue in SPS,,0.00
AUGREVENUE-36943,69,A11001 - Accounts Receivable (New),950,,#VALUE!,08/25/2025,36943,AUTOGRAPH MAYA-PS,464,Aug 25 product revenue in SPS,20870.08,
AUGREVENUE-36943,69.5,,972,A40001 - Sales Income (New),972,08/25/2025,36943,AUTOGRAPH MAYA-PS,464,Aug 25 product revenue in SPS,,20870.08
AUGREVENUE-38391/9,70,A11001 - Accounts Receivable (New),950,,#VALUE!,08/25/2025,38391/9,Auburn Hospitality Group,1548,Aug 25 product revenue in SPS,10721.09,
AUGREVENUE-38391/9,70.5,,972,A40001 - Sales Income (New),972,08/25/2025,38391/9,Auburn Hospitality Group,1548,Aug 25 product revenue in SPS,,10721.09
AUGREVENUE-33950/13,71,A11001 - Accounts Receivable (New),950,,#VALUE!,08/26/2025,33950/13,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,-2567.91,
AUGREVENUE-33950/13,71.5,,972,A40001 - Sales Income (New),972,08/26/2025,33950/13,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,-2567.91
AUGREVENUE-37092/3,72,A11001 - Accounts Receivable (New),950,,#VALUE!,08/26/2025,37092/3,La Quinta San Antonio 1,2618,Aug 25 product revenue in SPS,0.00,
AUGREVENUE-37092/3,72.5,,972,A40001 - Sales Income (New),972,08/26/2025,37092/3,La Quinta San Antonio 1,2618,Aug 25 product revenue in SPS,,0.00
AUGREVENUE-37412/3,73,A11001 - Accounts Receivable (New),950,,#VALUE!,08/27/2025,37412/3,Ascent Hospitality Element Carmel Indiana,3314,Aug 25 product revenue in SPS,0.00,
AUGREVENUE-37412/3,73.5,,972,A40001 - Sales Income (New),972,08/27/2025,37412/3,Ascent Hospitality Element Carmel Indiana,3314,Aug 25 product revenue in SPS,,0.00
AUGREVENUE-38643/3,74,A11001 - Accounts Receivable (New),950,,#VALUE!,08/28/2025,38643/3,Mehr Consultancy,1934,Aug 25 product revenue in SPS,6300.16,
AUGREVENUE-38643/3,74.5,,972,A40001 - Sales Income (New),972,08/28/2025,38643/3,Mehr Consultancy,1934,Aug 25 product revenue in SPS,,6300.16
AUGREVENUE-33951/7,75,A11001 - Accounts Receivable (New),950,,#VALUE!,08/29/2025,33951/7,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,0.00,
AUGREVENUE-33951/7,75.5,,972,A40001 - Sales Income (New),972,08/29/2025,33951/7,LA QUINTA ORLANDO,2678,Aug 25 product revenue in SPS,,0.00
AUGREVENUE-34411/3,76,A11001 - Accounts Receivable (New),950,,#VALUE!,08/29/2025,34411/3,La Quinta San Antonio 1,2618,Aug 25 product revenue in SPS,0.00,
AUGREVENUE-34411/3,76.5,,972,A40001 - Sales Income (New),972,08/29/2025,34411/3,La Quinta San Antonio 1,2618,Aug 25 product revenue in SPS,,0.00
AUGREVENUE-35309/2,77,A11001 - Accounts Receivable (New),950,,#VALUE!,08/29/2025,35309/2,Ascent Hospitality- Autograph Huntsville,3318,Aug 25 product revenue in SPS,0.00,
AUGREVENUE-35309/2,77.5,,972,A40001 - Sales Income (New),972,08/29/2025,35309/2,Ascent Hospitality- Autograph Huntsville,3318,Aug 25 product revenue in SPS,,0.00
AUGREVENUE-36801/5,78,A11001 - Accounts Receivable (New),950,,#VALUE!,08/29/2025,36801/5,"Hometown Inn & Suites, Memphis TN",3346,Aug 25 product revenue in SPS,6292.32,
