External ID,Document Number,Internal ID,Name,Main Line Name,Vendor internal ID,Subsidiary (no hierarchy),Subsidiary ID,Date,Line Description,Location,Loaction ID,Currency,Exchange Rate,Approval Status,Line #,Item,Blue Collar Project,Cost Code,Item Internal ID,Description,Custom UOM,Quantity,Units,Amount
PO1248,PO1248,6716,LQ Brownsville,Momentum Group,1971,Graniti Vicentia LLC,3,04/01/2025,VWC-02 Accent Vinyl Wallcovering @ Great Room Columns  -- NA-7J-LQ07 LAQUINTA,Houston (GV LLC),2,US Dollar,1,Approved,50,Contract Item - LY,LQ Brownsville,Wallcovering,13189,,,30,Linear Yard,405.00
PO1248,PO1248,6716,LQ Brownsville,Momentum Group,1971,Graniti Vicentia LLC,3,04/01/2025,VWC-03 Vinyl Wallcovering @ Reception Desk Back Wall --- NA-7J-LQ08 LAQUINTA,Houston (GV LLC),2,US Dollar,1,Approved,51,Contract Item - LY,LQ Brownsville,Wallcovering,13189,,,30,Linear Yard,435.00
PO1248,PO1248,6716,LQ Brownsville,Momentum Group,1971,Graniti Vicentia LLC,3,04/01/2025,VWC-07 Vinyl Wallcovering @ Print Station --- NA-7J-LQ09 LAQUINTA  ,Houston (GV LLC),2,US Dollar,1,Approved,53,Contract Item - LY,LQ Brownsville,Wallcovering,13189,,,30,Linear Yard,502.50
PO1248,PO1248,6716,,Momentum Group,1971,Graniti Vicentia LLC,3,04/01/2025,Freight,Houston (GV LLC),2,US Dollar,1,Approved,1,Delivery Charges,,,6152,,,1,Lump Sum,117.25
PO1248,PO1248,6716,,Momentum Group,1971,Graniti Vicentia LLC,3,04/01/2025,Freight,Houston (GV LLC),2,US Dollar,1,Approved,2,Delivery Charges,,,6152,,,1,Lump Sum,117.25
PO1248,PO1248,6716,,Momentum Group,1971,Graniti Vicentia LLC,3,04/01/2025,Shipping & Handling,Houston (GV LLC),2,US Dollar,1,Approved,2,Delivery Charges,,,6152,,,1,Lump Sum,259.04
PO1248,PO1248,6716,,Momentum Group,1971,Graniti Vicentia LLC,3,04/01/2025,Credit Card Fee ,Houston (GV LLC),2,US Dollar,1,Approved,3,Other Charges,,,6153,,,1,Lump Sum,23.93
PO1248,PO1248,6716,,Momentum Group,1971,Graniti Vicentia LLC,3,04/01/2025,Credit Card Fee,Houston (GV LLC),2,US Dollar,1,Approved,4,Other Charges,,,6153,,,1,Lump Sum,10.45
PO1251,PO1251,7265,Renu,"Stonepeak Ceramics, Inc.",228,Graniti Vicentia LLC,3,04/02/2025,STONEPEAK STATUARIETTO CLASSIC 12x24 POLISHED 8mm,Houston (GV LLC),2,US Dollar,1,Approved,1,USP1224172,,,23153,,,2945.437,Square Foot,7834.86
PO1251,PO1251,7265,Renu,"Stonepeak Ceramics, Inc.",228,Graniti Vicentia LLC,3,04/02/2025,STONEPEAK STATUARIETTO CLASSIC 12x24 HONED,Houston (GV LLC),2,US Dollar,1,Approved,2,USG1224172,,,22881,,,1764.112,Square Foot,2452.12
PO1258,PO1258,7929,,Momentum Group,1971,Graniti Vicentia LLC,3,04/07/2025,Alameda - Nightfall - SKU:  A214-318 --- 1 each 30 LY roll @2195 / ly,Houston (GV LLC),2,US Dollar,1,Approved,1,,,,,,,,,658.50
PO1258,PO1258,7929,,Momentum Group,1971,Graniti Vicentia LLC,3,04/07/2025,Expedited Shipping,Houston (GV LLC),2,US Dollar,1,Approved,2,,,,,,,,,465.55
PO1258,PO1258,7929,,Momentum Group,1971,Graniti Vicentia LLC,3,04/07/2025,Credit Card Fee,Houston (GV LLC),2,US Dollar,1,Approved,3,,,,,,,,,22.48
PO1262,PO1262,7939,,"Sponge Cushion, Inc.",1541,Graniti Vicentia LLC,3,04/07/2025,DUBL-STIK 1562 BLACK CARPET PAD - Tred-Mor BV0084 Badger - weight 50oz,Houston (GV LLC),2,US Dollar,1,Approved,1,GV-CPAD-54-BLA-15,,,12185,DUBL-STIK 1562 BLACK CARPET PAD,,210,Square Yard,476.70
PO1262,PO1262,7939,,"Sponge Cushion, Inc.",1541,Graniti Vicentia LLC,3,04/07/2025,Freight,Houston (GV LLC),2,US Dollar,1,Approved,2,Delivery Charges,,,6152,,,1,Lump Sum,386.00
PO1271,PO1271,8995,E&S Flooring LLC,"Stonepeak Ceramics, Inc.",228,Graniti Vicentia LLC,3,04/11/2025,Fiandre PorcelainGres Urban Grey 8mm Honed 12x24 / In stock in IL. ,Houston (GV LLC),2,US Dollar,1,Approved,1,X630292X8,,,19626,,,480.31,Square Foot,1950.07
PO1271,PO1271,8995,,"Stonepeak Ceramics, Inc.",228,Graniti Vicentia LLC,3,04/11/2025,SALES TAXES,Houston (GV LLC),2,US Dollar,1,Approved,2,Delivery Charges,,,6152,,,1,Lump Sum,160.88
PO1274,PO1274,9399,"Pinnacle Marble & Granite, Inc.","Stonepeak Ceramics, Inc.",228,Graniti Vicentia LLC,3,04/14/2025,"Marble Lab, Premium White Polished ,24x48 15.4944 sf per box  542.304 sf = 35 boxes",Houston (GV LLC),2,US Dollar,1,Approved,1,AL191X864,,,18615,,,542.304,Square Foot,3931.60
PO1274,PO1274,9399,,"Stonepeak Ceramics, Inc.",228,Graniti Vicentia LLC,3,04/14/2025,Freight and Taxes,Houston (GV LLC),2,US Dollar,1,Approved,2,Delivery Charges,,,6152,,,1,Lump Sum,324.36
PO1276,PO1276,9406,LQ Laredo,"Jasfer Industry Co., Limited",137,Graniti Vicentia LLC,3,04/14/2025,WT-10 Wall Tile @ Great Room - Signature Mosaic Mural- 8230 x 2743,Houston (GV LLC),2,US Dollar,1,Approved,56,Contract Item - SF,,,6356,,,22.57,Square Foot,8350.90
PO1276,PO1276,9406,,"Jasfer Industry Co., Limited",137,Graniti Vicentia LLC,3,04/14/2025,FOB Handling Cost,Houston (GV LLC),2,US Dollar,1,Approved,1,Delivery Charges,,,6152,,,1,Lump Sum,0.00
PO1276,PO1276,9406,,"Jasfer Industry Co., Limited",137,Graniti Vicentia LLC,3,04/14/2025,Pallet Fee,Houston (GV LLC),2,US Dollar,1,Approved,2,Delivery Charges,,,6152,,,1,Lump Sum,0.00
PO1278,PO1278,9966,,JUNIPER DESIGN GROUP,2395,Graniti Vicentia LLC,3,04/15/2025,JPR-GRND-DKU2 (1) UNIFYING PLATE - 2- WAY - SATIN BRASS,Houston (GV LLC),2,US Dollar,1,Approved,1,Contract Item-EA,,,11164,,,14,Each,840.00
PO1278,PO1278,9966,,JUNIPER DESIGN GROUP,2395,Graniti Vicentia LLC,3,04/15/2025,"JPR-GRND-DKUS (SATIN BRASS, USB - C) GROUND CONTROL - USB - PORT TYPE: USB - C - FINISH: SATIN BRASS",Houston (GV LLC),2,US Dollar,1,Approved,2,Contract Item-EA,,,11164,,,4,Each,1000.00
PO1278,PO1278,9966,,JUNIPER DESIGN GROUP,2395,Graniti Vicentia LLC,3,04/15/2025,"24VDC, 2A POWER SUPPLY, 90-264VAC INPUT, 1.5M BLACK BRAIDED CORD, 2.1X5.5MM MALE DC JACK, GLOSSY BLACK COVER JUNIPER LOGO, UL LISTED, INTERCHANGEABLE INTERNATIONAL PINS",Houston (GV LLC),2,US Dollar,1,Approved,3,Contract Item-EA,,,11164,,,4,Each,0.00
PO1278,PO1278,9966,,JUNIPER DESIGN GROUP,2395,Graniti Vicentia LLC,3,04/15/2025,TYPE A - INTERCHANGABLE US PIN FOR SIMSUKIAN POWER SUPPLY PLUG,Houston (GV LLC),2,US Dollar,1,Approved,4,Contract Item-EA,,,11164,,,1,Each,0.00
PO1278,PO1278,9966,,JUNIPER DESIGN GROUP,2395,Graniti Vicentia LLC,3,04/15/2025,JPR-GRND-DKPW (SATIN BRASS) GROUND CONTROL - POWER OUTLET - FINISH: SATIN BRASS,Houston (GV LLC),2,US Dollar,1,Approved,5,Contract Item-EA,,,11164,,,17,Each,2550.00
PO1278,PO1278,9966,,JUNIPER DESIGN GROUP,2395,Graniti Vicentia LLC,3,04/15/2025,UPS Ground,Houston (GV LLC),2,US Dollar,1,Approved,6,Delivery Charges,,,6152,,,1,Lump Sum,63.00
