External ID,Item ID,Item,Invoice ID/Reference,Length,Vendor ID,Vendor Name,Date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Memo,Location,Bin,Bin ID,SERIAL/LOT NUMBER
NSOPENBALBILL080,40391,cogs,GV2025013,9,1237,"Cambodian Zulite Stone Co., Ltd.",06/01/2025,7741.34,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1032
NSOPENBALBILL081,40391,cogs,GV2025017,9,1237,"Cambodian Zulite Stone Co., Ltd.",06/01/2025,2354.56,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1033
NSOPENBALBILL082,40391,cogs,GV2025019,9,1237,"Cambodian Zulite Stone Co., Ltd.",06/01/2025,4876.07,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1034
NSOPENBALBILL088,40391,cogs,112294,6,1244,Easy Stones,05/21/2025,1776.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1035
NSOPENBALBILL089,40391,cogs,112662,6,1244,Easy Stones,05/27/2025,2100.57,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1036
NSOPENBALBILL090,40391,cogs,112673,6,1244,Easy Stones,06/03/2025,5251.42,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1037
NSOPENBALBILL091,40391,cogs,W-0530,6,2660,F.B. STONES S.R.L.,05/30/2025,-19276.89,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1038
NSOPENBALBILL100,40391,cogs,INV24801,8,2289,Fil Doux Textiles,06/20/2025,37.49,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1039
NSOPENBALBILL101,40391,cogs,20240524,8,1252,FPD SHPK,05/24/2024,2192.40,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1040
NSOPENBALBILL102,40391,cogs,26919 - Invoice,15,1252,FPD SHPK,06/30/2025,27074.77,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1041
NSOPENBALBILL103,40391,cogs,2022-FE-0000488,15,1253,GIBAM SHOPS SPA,10/13/2022,15010.14,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1042
NSOPENBALBILL104,40391,cogs,2022-FE-0000590,15,1253,GIBAM SHOPS SPA,12/23/2022,353.77,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1043
NSOPENBALBILL105,40391,cogs,"215, 216, 217, 218",18,1253,GIBAM SHOPS SPA,05/06/2023,3763.20,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1044
NSOPENBALBILL107,40391,cogs,2023-FE-0000289,15,1253,GIBAM SHOPS SPA,07/26/2023,77.36,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1045
NSOPENBALBILL108,40391,cogs,2023-FE-0000325,15,1253,GIBAM SHOPS SPA,08/04/2023,76.52,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1046
NSOPENBALBILL109,40391,cogs,"335, 342, 374, 550",18,1253,GIBAM SHOPS SPA,09/29/2023,4370.13,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1047
NSOPENBALBILL111,40391,cogs,"337, 343, 376, 552",18,1253,GIBAM SHOPS SPA,09/29/2023,2121.17,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1048
NSOPENBALBILL112,40391,cogs,2023-FE-0000353,15,1253,GIBAM SHOPS SPA,10/05/2023,113.05,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1049
NSOPENBALBILL113,40391,cogs,"357, 358, 359",13,1253,GIBAM SHOPS SPA,10/17/2023,28363.48,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1050
NSOPENBALBILL114,40391,cogs,2023-FE-0000360,15,1253,GIBAM SHOPS SPA,10/19/2023,2026.26,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1051
NSOPENBALBILL115,40391,cogs,2023-FE-0000361,15,1253,GIBAM SHOPS SPA,10/19/2023,8549.34,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1052
NSOPENBALBILL116,40391,cogs,2023-FE-0000362,15,1253,GIBAM SHOPS SPA,10/19/2023,474.15,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1053
NSOPENBALBILL117,40391,cogs,2023-FE-0000363,15,1253,GIBAM SHOPS SPA,10/19/2023,499.63,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1054
NSOPENBALBILL118,40391,cogs,2023-FE-0000371,15,1253,GIBAM SHOPS SPA,10/24/2023,1315.54,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1055
NSOPENBALBILL119,40391,cogs,2023-FE-0000373,15,1253,GIBAM SHOPS SPA,10/26/2023,617.38,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1056
NSOPENBALBILL121,40391,cogs,2023-FE-0000394,15,1253,GIBAM SHOPS SPA,11/02/2023,98.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1057
NSOPENBALBILL122,40391,cogs,2023-FE-0000395,15,1253,GIBAM SHOPS SPA,11/02/2023,128.39,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1058
NSOPENBALBILL123,40391,cogs,2023-FE-0000396,15,1253,GIBAM SHOPS SPA,11/02/2023,105.42,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1059
NSOPENBALBILL125,40391,cogs,2023-FE-0000418,15,1253,GIBAM SHOPS SPA,11/16/2023,464.73,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1060
NSOPENBALBILL126,40391,cogs,2023-FE-0000420,15,1253,GIBAM SHOPS SPA,11/16/2023,4017.52,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1061
NSOPENBALBILL127,40391,cogs,"426,427,429, 431",16,1253,GIBAM SHOPS SPA,11/24/2023,18493.66,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1062
NSOPENBALBILL128,40391,cogs,"428, 430",8,1253,GIBAM SHOPS SPA,11/24/2023,3012.03,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1063
NSOPENBALBILL129,40391,cogs,2023-FE-0000434,15,1253,GIBAM SHOPS SPA,11/29/2023,406.75,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1064
NSOPENBALBILL131,40391,cogs,"366, 458, 547",13,1253,GIBAM SHOPS SPA,11/30/2023,7652.58,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1065
NSOPENBALBILL133,40391,cogs,2023-FE-0000438,15,1253,GIBAM SHOPS SPA,11/30/2023,1152.50,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1066
NSOPENBALBILL134,40391,cogs,2023-FE-0000439,15,1253,GIBAM SHOPS SPA,11/30/2023,2487.10,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1067
NSOPENBALBILL135,40391,cogs,2023-FE-0000441,15,1253,GIBAM SHOPS SPA,11/30/2023,11450.08,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1068
NSOPENBALBILL136,40391,cogs,2023-FE-0000455,15,1253,GIBAM SHOPS SPA,11/30/2023,696.59,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1069
NSOPENBALBILL137,40391,cogs,2023-FE-0000456,15,1253,GIBAM SHOPS SPA,11/30/2023,9825.87,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1070
NSOPENBALBILL138,40391,cogs,2023-FE-0000457,15,1253,GIBAM SHOPS SPA,11/30/2023,4505.11,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1071
