External ID,Item internal Id,sold (COGS),Invoice #/Rerence No.,Vendor ID,Vendor,Invoice date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Account ID
NSOPENBALBILL495,40391,cogs,24RT071603,137,"Jasfer Industry Co., Limited",10/14/2024,"$17,021.64",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL496,40391,cogs,24JSF-MT0601,137,"Jasfer Industry Co., Limited",10/18/2024,$267.27,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL497,40391,cogs,24JSF08065,137,"Jasfer Industry Co., Limited",10/18/2024,"$30,648.67",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL498,40391,cogs,24JSF07062,137,"Jasfer Industry Co., Limited",10/25/2024,$135.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL499,40391,cogs,24JSF07063,137,"Jasfer Industry Co., Limited",10/25/2024,$225.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL500,40391,cogs,24BL070202,137,"Jasfer Industry Co., Limited",10/30/2024,"$7,073.32",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL501,40391,cogs,24JSF08056,137,"Jasfer Industry Co., Limited",10/30/2024,$215.01,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL502,40391,cogs,24RT051102,137,"Jasfer Industry Co., Limited",10/31/2024,"$2,214.07",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL503,40391,cogs,24RT070601,137,"Jasfer Industry Co., Limited",11/01/2024,"$8,021.62",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL504,40391,cogs,W-1104,137,"Jasfer Industry Co., Limited",11/04/2024,"-$4,361.42",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL505,40391,cogs,24JSF10019,137,"Jasfer Industry Co., Limited",11/08/2024,"$2,057.98",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL506,40391,cogs,24JSF09018,137,"Jasfer Industry Co., Limited",11/15/2024,"$16,123.92",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL507,40391,cogs,24JS090201,137,"Jasfer Industry Co., Limited",11/18/2024,$789.97,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL508,40391,cogs,20241120,137,"Jasfer Industry Co., Limited",11/20/2024,"$2,426.91",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL509,40391,cogs,24JSF06102,137,"Jasfer Industry Co., Limited",11/20/2024,"$32,314.59",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL510,40391,cogs,5642,137,"Jasfer Industry Co., Limited",11/21/2024,-$427.39,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL511,40391,cogs,24JSF08069,137,"Jasfer Industry Co., Limited",11/22/2024,"$9,068.65",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL512,40391,cogs,24JSF11068,137,"Jasfer Industry Co., Limited",11/22/2024,$686.94,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
