NSOPENBALBILL127,40391,cogs,"426,427,429, 431",16,1253,GIBAM SHOPS SPA,11/24/2023,11/24/2023,18493.66,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL128,40391,cogs,"428, 430",8,1253,GIBAM SHOPS SPA,11/24/2023,11/24/2023,3012.03,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL129,40391,cogs,2023/FE/0000434,15,1253,GIBAM SHOPS SPA,11/29/2023,11/29/2023,406.75,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL131,40391,cogs,"366, 458, 547",13,1253,GIBAM SHOPS SPA,11/30/2023,11/30/2023,7652.58,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL133,40391,cogs,2023/FE/0000438,15,1253,GIBAM SHOPS SPA,11/30/2023,11/30/2023,1152.50,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL134,40391,cogs,2023/FE/0000439,15,1253,GIBAM SHOPS SPA,11/30/2023,11/30/2023,2487.10,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL135,40391,cogs,2023/FE/0000441,15,1253,GIBAM SHOPS SPA,11/30/2023,11/30/2023,11450.08,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL136,40391,cogs,2023/FE/0000455,15,1253,GIBAM SHOPS SPA,11/30/2023,11/30/2023,696.59,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL137,40391,cogs,2023/FE/0000456,15,1253,GIBAM SHOPS SPA,11/30/2023,11/30/2023,9825.87,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL138,40391,cogs,2023/FE/0000457,15,1253,GIBAM SHOPS SPA,11/30/2023,11/30/2023,4505.11,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
