External ID,Not uploaded,Item ID,Item,Invoice ID/Reference,Vendor ID,Netsuite Name,Vendor Name,Date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Bin,Bin ID,serial/lot number,Location 
NSOPENBALBILL099,#N/A,40391,cogs,1 / 1552,1249,"Fenabel, S.A.",Fenabel,05/22/2024,598.74,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-051,17,1710,2
NSOPENBALBILL103,#N/A,40391,cogs,2022-FE-0000488,1253,,GIBAM SHOPS SPA,10/13/2022,15010.14,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-052,17,1711,2
NSOPENBALBILL104,#N/A,40391,cogs,2022-FE-0000590,1253,,GIBAM SHOPS SPA,12/23/2022,353.77,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-053,17,1712,2
NSOPENBALBILL106,#N/A,40391,cogs,2023-BILL-001,1253,,GIBAM SHOPS SPA,07/05/2023,34856.59,3,Graniti Vicentia LLC,"276, 277, 540, 541, 542, 543 (Import SPS data by Invoice in Netsuite)",A20001,CW-054,17,1713,2
NSOPENBALBILL110,#N/A,40391,cogs,2023-BILL-002,1253,,GIBAM SHOPS SPA,09/29/2023,17721.02,3,Graniti Vicentia LLC,"336, 341, 375, 378, 551 (Import SPS data by Invoice in Netsuite)",A20001,CW-055,17,1714,2
NSOPENBALBILL120,#N/A,40391,cogs,2023-BILL-003,1253,,GIBAM SHOPS SPA,11/02/2023,29036.48,3,Graniti Vicentia LLC,"397, 398, 401, 403, 405 (Import SPS data by Invoice in Netsuite)",A20001,CW-056,17,1715,2
NSOPENBALBILL124,#N/A,40391,cogs,2023-BILL-004,1253,,GIBAM SHOPS SPA,11/13/2023,21886.08,3,Graniti Vicentia LLC,"400, 402, 404, 406, 410 (Import SPS data by Invoice in Netsuite)",A20001,CW-057,17,1716,2
NSOPENBALBILL130,#N/A,40391,cogs,2023-BILL-005,1253,,GIBAM SHOPS SPA,11/30/2023,39927.57,3,Graniti Vicentia LLC,"365, 368, 370, 372, 460, 546 (Import SPS data by Invoice in Netsuite)",A20001,CW-058,17,1717,2
NSOPENBALBILL132,#N/A,40391,cogs,2023-BILL-006,1253,,GIBAM SHOPS SPA,11/30/2023,8410.12,3,Graniti Vicentia LLC,"367, 369, 459, 461, 548 (Import SPS data by Invoice in Netsuite)",A20001,CW-059,17,1718,2
NSOPENBALBILL143,#N/A,40391,cogs,2023-BILL-007,1253,,GIBAM SHOPS SPA,12/20/2023,28794.26,3,Graniti Vicentia LLC,"492, 488, 497, 501, 505 (Import SPS data by Invoice in Netsuite)",A20001,CW-060,17,1719,2
NSOPENBALBILL146,#N/A,40391,cogs,2023-BILL-008,1253,,GIBAM SHOPS SPA,12/20/2023,9673.37,3,Graniti Vicentia LLC,"491, 494, 496, 504, 507 (Import SPS data by Invoice in Netsuite)",A20001,CW-061,17,1720,2
NSOPENBALBILL161,#N/A,40391,cogs,2023-BILL-009,1253,,GIBAM SHOPS SPA,12/31/2023,25813.82,3,Graniti Vicentia LLC,"524, 525, 529, 532, 534 (Import SPS data by Invoice in Netsuite)",A20001,CW-062,17,1721,2
NSOPENBALBILL163,#N/A,40391,cogs,2023-BILL-010,1253,,GIBAM SHOPS SPA,12/31/2023,48064.52,3,Graniti Vicentia LLC,"554, 555, 556, 557, 558, 559, 566 (Import SPS data by Invoice in Netsuite)",A20001,CW-063,17,1722,2
NSOPENBALBILL187,#N/A,40391,cogs,2024-BILL-001,1253,,GIBAM SHOPS SPA,03/15/2024,100189.37,3,Graniti Vicentia LLC,"71, 73, 76,  79, 89, 90, 91 (Import SPS data by Invoice in Netsuite)",A20001,CW-064,17,1723,2
NSOPENBALBILL195,#N/A,40391,cogs,2024-BILL-002,1253,,GIBAM SHOPS SPA,04/30/2024,0.01,3,Graniti Vicentia LLC,"118, 123, 124, 127, 128, 134, 135, 136, 196 (Import SPS data by Invoice in Netsuite)",A20001,CW-065,17,1724,2
